dispute_sequence,utterance_id,ssot_logical_utterance_uid,old_order,new_order,old_timestamp,new_timestamp,text_changed,order_changed,reply_order_changed,needs_rereview
D01,449109941.23182.23182,,1,1,2011-09-08 10:22:31,2011-09-08 10:22:31,False,False,False,False
D01,449120907.23216.23216,wikiconv:449120907.23216.23216,2,2,2011-09-08 10:22:31,2011-09-08T09:22:31+00:00,False,False,True,True
D01,452350488.24584.24583,wikiconv:452350488.24584.24583,4,3,2011-09-08 12:22:20,2011-09-08T11:22:20+00:00,False,True,True,True
D01,452350488.25160.25159,wikiconv:452350488.25160.25159,5,4,2011-09-08 12:33:30,2011-09-08T11:33:30+00:00,False,True,True,True
D01,449117947.24220.24220,wikiconv:449117947.24220.24220,3,5,2011-09-08 11:49:05,2011-09-08 11:49:05,False,True,True,True
D01,449143272.25393.25393,wikiconv:449143272.25393.25393,6,6,2011-09-08 15:33:14,2011-09-08 15:33:14,False,False,True,True
D01,454304661.25642.25642,wikiconv:454304661.25642.25642,7,7,2011-10-06 23:51:00,2011-10-06 23:51:00,False,False,False,False
D01,454859589.26087.26087,wikiconv:454859589.26087.26087,8,8,2011-10-10 13:14:27,2011-10-10 13:14:27,False,False,False,False
D01,455048757.26332.26332,wikiconv:455048757.26332.26332,9,9,2011-10-11 16:06:31,2011-10-11 16:06:31,False,False,False,False
D01,467347162.26777.26777,wikiconv:467347162.26777.26777,10,10,2011-12-23 14:53:59,2011-12-23 14:53:59,False,False,True,True
D02,365528541.2222.2222,,1,1,2010-06-02 00:09:37,2010-06-02 00:09:37,False,False,False,False
D02,365528541.2247.2222,wikiconv:365528541.2247.2222,2,2,2010-06-02 00:09:37,2010-06-02 00:09:37,False,False,True,True
D02,365830055.2926.2926,wikiconv:365830055.2926.2926,3,3,2010-06-03 14:49:48,2010-06-03 14:49:48,False,False,False,False
D02,365889664.3377.3377,wikiconv:365889664.3377.3377,4,4,2010-06-03 20:56:16,2010-06-03T19:56:16+00:00,False,False,False,False
D02,367153252.3688.3688,wikiconv:367153252.3688.3688,5,5,2010-06-10 07:43:22,2010-06-10 07:43:22,False,False,False,False
D02,367276335.4347.4347,wikiconv:367276335.4347.4347,6,6,2010-06-10 21:12:08,2010-06-10 21:12:08,False,False,False,False
D02,367607022.5292.5292,wikiconv:367607022.5292.5292,7,7,2010-06-12 15:03:43,2010-06-12 15:03:43,False,False,True,True
D02,367624266.5725.5725,wikiconv:367624266.5725.5725,8,8,2010-06-12 17:35:55,2010-06-12 17:35:55,False,False,False,False
D02,367787691.6080.6080,wikiconv:367787691.6080.6080,9,9,2010-06-13 16:55:57,2010-06-13T15:55:57+00:00,False,False,True,True
D02,367795487.6483.6483,wikiconv:367795487.6483.6483,10,10,2010-06-13 17:55:59,2010-06-13 17:55:59,False,False,False,False
D02,368819743.7052.7052,wikiconv:368819743.7052.7052,11,11,2010-06-18 17:24:39,2010-06-18 17:24:39,False,False,False,False
D02,369081061.9503.9503,wikiconv:369081061.9503.9503,13,12,2010-06-19 23:56:31,2010-06-19T22:56:31+00:00,False,True,True,True
D02,369076787.9078.9078,wikiconv:369076787.9078.9078,12,13,2010-06-19 23:30:13,2010-06-19 23:30:13,False,True,False,True
D03,469418557.23929.23929,,1,1,2012-01-03 23:51:10,2012-01-03 23:51:10,False,False,False,False
D03,469418955.23946.23946,wikiconv:469418955.23946.23946,2,2,2012-01-03 23:51:10,2012-01-03T23:51:10+00:00,False,False,True,True
D03,469428602.24190.24190,wikiconv:469428602.24190.24190,3,3,2012-01-04 01:10:27,2012-01-04 01:10:27,False,False,False,False
D03,469438174.26043.26043,wikiconv:469438174.26043.26043,4,4,2012-01-04 02:33:08,2012-01-04 02:33:08,False,False,False,False
D03,469438261.26282.26282,wikiconv:469438261.26282.26282,5,5,2012-01-04 02:34:01,2012-01-04 02:34:01,False,False,False,False
D03,469438428.26433.26433,wikiconv:469438428.26433.26433,6,6,2012-01-04 02:35:48,2012-01-04 02:35:48,False,False,False,False
D03,469438899.27014.27014,wikiconv:469438899.27014.27014,7,7,2012-01-04 02:40:14,2012-01-04 02:40:14,False,False,False,False
D03,469480047.29394.29394,wikiconv:469480047.29394.29394,8,8,2012-01-04 09:16:16,2012-01-04 09:16:16,False,False,False,False
D03,469511411.31089.31089,wikiconv:469511411.31089.31089,9,9,2012-01-04 14:19:37,2012-01-04 14:19:37,False,False,False,False
D03,469651754.31329.31329,wikiconv:469651754.31329.31329,10,10,2012-01-05 04:06:37,2012-01-05 04:06:37,False,False,False,False
D03,469658098.31928.31928,wikiconv:469658098.31928.31928,11,11,2012-01-05 05:00:29,2012-01-05 05:00:29,False,False,False,False
D03,469704843.34026.32475,wikiconv:469704843.34026.32475,12,12,2012-01-05 12:40:27,2012-01-05 12:40:27,False,False,False,False
D03,469707104.34486.34486,wikiconv:469707104.34486.34486,13,13,2012-01-05 12:58:18,2012-01-05 12:58:18,False,False,False,False
D03,469711755.34927.34927,wikiconv:469711755.34927.34927,14,14,2012-01-05 13:36:30,2012-01-05 13:36:30,False,False,False,False
D03,470419551.35850.35850,wikiconv:470419551.35850.35850,15,15,2012-01-09 11:50:40,2012-01-09 11:50:40,False,False,True,True
D03,470653318.36076.36076,wikiconv:470653318.36076.36076,16,16,2012-01-10 18:25:59,2012-01-10 18:25:59,False,False,False,False
D04,714699894.93972.93972,wikiconv:714699894.93972.93972,1,1,2016-04-11 10:34:26,2016-04-11 10:34:26,False,False,False,False
D04,714699894.93998.93972,wikiconv:714699894.93998.93972,2,2,2016-04-11 10:34:26,2016-04-11 10:34:26,False,False,False,False
D04,714716705.94660.94660,wikiconv:714716705.94660.94660,3,3,2016-04-11 13:23:46,2016-04-11 13:23:46,False,False,False,False
D04,714748540.96907.96907,wikiconv:714748540.96907.96907,4,4,2016-04-11 17:36:25,2016-04-11 17:36:25,False,False,False,False
D04,714804813.97869.97490,wikiconv:714804813.97869.97490,6,5,2016-04-12 00:18:58,2016-04-12 00:18:58,False,True,False,True
D04,714838724.98703.98703,wikiconv:714838724.98703.98703,8,6,2016-04-12 05:05:08,2016-04-12 05:05:08,False,True,True,True
D04,714866065.101047.101047,wikiconv:714866065.101047.101047,11,7,2016-04-12 09:56:54,2016-04-12 09:56:54,False,True,True,True
D04,714983305.98821.98821,wikiconv:714983305.98821.98821,12,8,2016-04-13 01:33:46,2016-04-13 01:33:46,False,True,True,True
D04,714983305.103464.103195,wikiconv:714983305.103464.103195,13,9,2016-04-13 01:33:46,2016-04-13 01:33:46,False,True,True,True
D04,715003359.28485.28485,wikiconv:715003359.28485.28485,14,10,2016-04-13 04:40:09,2016-04-13 04:40:09,False,True,True,True
